A	A
C	C
G	G
T	T
R	[AG]
Y	[CT]
S	[GC]
W	[AT]
K	[GT]
M	[AC]
B	[CGT]
D	[AGT]
H	[ACT]
V	[ACG]
N	[ACGT]
I	[ACGT]
