Acalles papei
Acalles parasierrae
Acalles parvulus
Acalles pilula
Acalles portosantoensis
Acalles ptinoides
Acalles pulverosus
Acalles pyrenaeus
Acalles roboris
Acalles sablensis
Acalles sardiniaensis
Acalles sarothamni
Acalles saxicola
Acalles sierrae
Acalles silosensis
Acalles sintraniensis
Acalles sonchi
Acalles sylvosus
Acalles temperei
Acalles terminalis
Acalles testensis
Acalles tibialis
Acallis alticolalis
Acallis centralis
Acallis gripalis
Acallistus longus
Acallocrates colonnellii
Acallocrates denticollis
Acallocrates minutesquamosus
Acallodes saltoides
Acallorneuma doderoi
Acallorneuma sardiniense
Acalolepta australis
Acalolepta fasciata
Acalolepta formosana
Acalolepta grossescapa
Acalolepta grossescapus
Acalolepta permutans
Acalolepta sublusca
Acalymma albidovittata
Acalymma albidovittatum
Acalymma bivittatum
Acalymma blandulum
Acalymma blomorum
Acalymma fairmairei
Acalymma gouldi
Acalymma hirtum
Acalymma innubum
Acalymma trivittatum
Acalymma vittatum
Acalyphes philorites
Acalypta carinata
Acalypta cooleyi
Acalypta gracilis
Acalypta lillianis
Acalypta marginata
Acalypta musci
Acalypta nigrina
Acalypta parvula
Acalypta platycheila
Acalypta saundersi
Acalyptris AcaciaKenya
Acalyptris AlangiumVietnam
Acalyptris AlniphyllumTaiwan
Acalyptris AporosaVietnam
Acalyptris bicornutus
Acalyptris bipinnatellus
Acalyptris CamelliaJapan
Acalyptris clinomochla
Acalyptris CornusJapan
Acalyptris EriophorumCanada
Acalyptris fuscofascia
Acalyptris galinae
Acalyptris gielisi
Acalyptris GlochidionQueensland
Acalyptris janzeni
Acalyptris lesbia
Acalyptris LicaniaUSA
Acalyptris limonii
Acalyptris Liquidambarformosana
Acalyptris loranthella
Acalyptris lotella
Acalyptris maritima
Acalyptris MelastomaBorneo
Acalyptris MelastomaQueensland
Acalyptris pistaciae
Acalyptris PistaciaIran
Acalyptris platani
Acalyptris PrunusUAE
Acalyptris psammophricta
Acalyptris pyrenaica
Acalyptris repeteki
Acalyptris scirpi
Acalyptris SennaFL
Acalyptris SennaTX
Acalyptris staticis
Acalyptris tenuijuxtus
Acalyptris thoracealbella
Acalyptris TurpiniaTaiwan
Acalyptris USAMS
Acalyptris ViburnumTaiwan
Acalyptris WendlandiaTaiwan
Acalyptris ZanthoxylumJapan
Acalyptris ZanthoxylumTaiwan
Acalyptus carpini
Acalyptus sericeus
Acalyptus trifasciatus
Acampsis alternipes
Acamptocladius submontanus
Acamptopoeum prinii
Acamptopoeum submetallicum
Acanalonia bivittata
Acanalonia chloris
